"Source:","/home/janco/Documents/pcb/sensor_board_ac/sensor_board-ac-4 -without-regulator.sch"
"Date:","Sat 26 Dec 2020 05:28:58 PM CET"
"Tool:","Eeschema 5.1.9"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","38"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, ","1","1nF","C","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Unpolarized capacitor","C152975"
"C2, ","1","10uF/10V","CP","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","Polarized capacitor","C191532"
"C7, ","1","0.1uf","C","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Unpolarized capacitor","C128353"
"C8, ","1","100nF 450v","C","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","Unpolarized capacitor","C106025"
"D1, ","1","1N4148","DIODE","Diode_SMD:D_SOD-123","Diode symbol for simulation only. Pin order incompatible with official kicad footprints","C184882"
"D2, ","1","MB6S","MB6S","Package_TO_SOT_SMD:TO-269AA","Miniature Glass Passivated Single-Phase Surface Mount Bridge Rectifiers, 700V Vrms, 1.0A If, DFS SMD package","C83867"
"F1, ","1","Glass fuse 10mm 4A","Fuse","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","Fuse","C140492"
"J1, ","1","Screw_Terminal_01x05","Screw_Terminal_01x05","TerminalBlock_RND:TerminalBlock_RND_205-00279_1x05_P5.00mm_Vertical","Generic screw terminal, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)","C163149,C163148"
"J2, ","1","Conn_01x02_Male ZMCT","Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J3, ","1","Conn_01x05_Male","Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J4, ","1","Conn_01x05_Male RIGHT","Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J5, ","1","Programm header","Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"Q1, Q2, ","2","BT136-600D","TIC206","Package_TO_SOT_THT:TO-220-3_Vertical","4A RMS, 400-700V Off-State Voltage, Sensitive Gate Triac, TO-220","C130426"
"Q5, ","1","2N3904","2N3904","Package_TO_SOT_SMD:SOT-23","0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92","C115444"
"R1, R2, R16, R17, ","4","180 0.25W 200v","R","Resistor_SMD:R_1210_3225Metric_Pad1.42x2.65mm_HandSolder","Resistor","C171148"
"R3, R4, R12, ","3","100","R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Resistor",""
"R5, ","1","4.7K","R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Resistor",""
"R6, R7, ","2","220K 0.25W 200v","R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Resistor","C352118"
"R8, R11, R13, ","3","1K","R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Resistor","C95781"
"R9, ","1","22K","R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Resistor",""
"R10, ","1","1K","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor","C175514"
"R14, ","1","10K","R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Resistor","C103904"
"R15, ","1","DNS","R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","Resistor","C103904"
"U1, ","1","HLK-PM02","HLK-PM03-Power_Supplies","Power_Supply:HLK-PM03","",""
"U2, U3, ","2","MOC3052","MOC3021M","Package_DIP:SMDIP-6_W7.62mm","Random Phase Opto-Triac, Vdrm 400V, Ift 15mA, DIP6","C115471"
"U4, ","1","4N35","4N35","Package_DIP:SMDIP-6_W7.62mm","Optocoupler, Phototransistor Output, with Base Connection, Vce 70V, CTR 100%, Viso 5000V, DIP6","C115444"
"U6, ","1","ATTINY414-SSNR","ATTINY1614-SSFR","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","12MHz, 16kB Flash, 1kB SRAM, 256B EEPROM, ADC, ACI, debugWIRE, SOIC-20","C189365"
"U7, ","1","H11AA1SM","4N35","Package_DIP:SMDIP-6_W7.62mm","Optocoupler, Phototransistor Output, with Base Connection, Vce 70V, CTR 100%, Viso 5000V, DIP6","C184383"
